num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1493	1954.569305	66.223896	-0.297637	0.227892	16.325557
1495	1956.644817	71.154086	0.284709	0.312180	16.124484
1497	1958.721082	69.084292	0.028918	0.227848	17.854972
1499	1960.796946	75.488988	2.597817	0.245756	15.781825
1501	1962.874038	73.524907	-0.082785	0.289099	17.395750
1503	1964.954457	69.902494	0.036750	0.238977	16.476619
1505	1967.035215	71.248346	0.128513	0.272874	17.270751
1507	1969.115563	70.499051	-0.145216	0.242139	17.987666
1509	1971.194582	78.261871	2.049757	0.247755	16.893716
1511	1973.274056	73.374298	0.015629	0.300250	17.936308
1513	1975.350673	71.287335	-0.393918	0.231390	17.263255
1515	1977.423451	72.950053	-0.487696	0.288000	17.418287
1517	1979.499622	72.590453	-0.091023	0.282594	17.385786
1519	1981.574341	70.896503	1.253293	0.305007	17.963037
1521	1983.651589	73.705030	-0.145205	0.198798	17.907150
1523	1985.728741	76.887682	-0.273592	0.290243	17.277442
1525	1987.805982	71.690559	0.730678	0.295793	18.503854
1527	1989.883890	72.839345	-0.218933	0.280975	17.435889
1529	1991.962308	76.298442	-0.773410	0.196749	17.441851
1531	1994.040741	74.733613	0.045865	0.313849	18.313688
1533	1996.121744	78.165464	-0.137972	0.190603	18.628542
1535	1998.201575	74.281868	-0.680215	0.280403	18.606162
1537	2000.281469	73.599155	-0.919766	0.196688	17.905139
1539	2002.358799	81.184192	2.467380	0.245347	18.411343
1541	2004.435492	81.218858	2.430846	0.247531	18.937560
1543	2006.511288	74.996483	-0.457732	0.271856	18.401418
1545	2008.585988	74.793674	-0.474217	0.273907	18.544023
1547	2010.661943	77.666467	-2.690963	0.223143	19.577971
1549	2012.737706	76.566062	-0.660239	0.288735	18.702660
1551	2014.813717	75.516890	-0.624258	0.277366	19.021730
1553	2016.890492	76.942624	-1.280810	0.202102	19.487399
1555	2018.968105	78.825195	-0.864264	0.285258	19.286443
1557	2021.046132	75.585341	-0.928421	0.237024	18.549507
1559	2023.123838	81.876170	3.786572	0.246704	19.822975
1561	2025.201844	76.862883	-0.998845	0.285412	19.461673
1563	2027.279943	78.083052	-0.701673	0.194759	19.423417
1565	2029.356637	80.371626	-0.259020	0.309049	20.057444
1567	2031.434558	76.418478	-0.733261	0.281762	19.552012
1569	2033.511322	75.267764	0.678891	0.301729	20.136883
1571	2035.588429	76.120236	-1.020425	0.225761	19.548932
1573	2037.666156	77.993847	-1.078661	0.281297	19.960650
1575	2039.743135	75.083304	-1.300216	0.203058	20.291458
1577	2041.820453	74.565696	-0.719096	0.244205	20.140317
1579	2043.898550	83.445630	2.891816	0.249056	20.724654
1581	2045.976890	77.611726	-0.819211	0.266411	20.368408
1583	2048.055572	76.215393	-1.046813	0.273507	20.583108
1585	2050.134374	77.354755	-0.974274	0.241896	20.636637
1587	2052.213258	78.398418	-0.945322	0.273855	20.416701
1589	2054.292635	76.884601	-1.086366	0.240058	20.560457
1591	2056.371134	80.314270	-1.240769	0.285511	20.545744
1593	2058.448967	77.901746	-1.180206	0.243515	20.154113
1595	2060.526599	76.280013	-0.888749	0.245026	20.494344
1597	2062.602490	76.177130	-1.317466	0.239944	21.120642
1599	2064.677695	80.074775	-0.991341	0.305872	20.692885
1601	2066.753496	77.116086	-1.790948	0.210478	20.934364
1603	2068.829405	75.820471	-1.264057	0.236810	20.661882
1605	2070.906074	75.888448	-1.239783	0.240600	20.967453
1607	2072.983065	80.005173	-1.552530	0.280003	20.739696
1609	2075.060871	78.979861	-1.106797	0.277905	20.898233
1611	2077.138399	76.850547	0.538347	0.310772	21.192611
1613	2079.217800	79.324942	-1.164830	0.280480	21.128492
1615	2081.296718	83.242018	0.364379	0.188959	21.158889
1617	2083.376330	86.006539	3.581316	0.241610	22.118049
1619	2085.455235	77.200879	-1.267661	0.239929	22.309189
1621	2087.533097	86.764458	3.296582	0.244391	22.285767
1623	2089.610199	76.367859	-1.683490	0.232958	21.763858
