time (s)	coil I (A)	last det (V)	int current (uC)
64051.104987	0.597152	-356.738281	-38.378906
64051.108988	0.833903	-356.738281	-38.378906
64051.110990	0.831852	9.150374	0.144895
64052.148974	0.835070	-141.796875	267.480469
64052.150976	0.832811	9.160920	0.363220
64053.190989	0.798116	-377.246094	-33.007812
64053.192993	0.835142	-377.246094	-33.007812
64053.194992	0.832510	9.157605	0.157944
64054.221021	0.835931	-149.902344	237.695312
64054.223024	0.833206	9.165262	0.174485
64055.279568	0.749388	-369.335937	-29.785156
64055.281571	0.835366	-369.335937	-29.785156
64055.283570	0.832501	9.157508	0.156391
64056.307686	0.753099	-145.605469	274.414062
64056.309687	0.835477	-145.605469	274.414062
64056.311688	0.832439	9.156835	0.168405
64057.355680	0.644149	-379.882812	-26.660156
64057.357681	0.837465	-379.882812	-26.660156
64057.359681	0.833760	9.171360	0.152190
64058.401657	0.833613	-144.531250	296.875000
64058.403657	0.834065	-144.531250	296.875000
64058.405657	0.831847	9.150311	0.460333
64059.453757	0.794889	-370.996094	-26.660156
64059.455757	0.835342	-370.996094	-26.660156
64059.457760	0.832693	9.159626	0.136632
64060.495762	0.836353	-145.312500	308.496094
64060.497763	0.833318	9.166494	0.155438
64061.525772	0.715713	-377.832031	-26.562500
64061.527774	0.836712	-377.832031	-26.562500
64061.529774	0.833440	9.167841	0.143731
64062.579846	0.837200	-158.203125	270.800781
64062.581849	0.833770	9.171475	0.181770
64063.608490	0.837690	-385.546875	-26.171875
64063.610493	0.834293	9.177217	0.162223
64064.677093	0.837901	-155.468750	280.664062
64064.679094	0.834121	9.175330	0.148084
64065.703678	0.712525	-371.679687	-27.441406
64065.705679	0.835885	-371.679687	-27.441406
64065.707681	0.835742	9.193161	0.127962
64066.758283	0.836392	-157.714844	276.464844
64066.760285	0.833082	9.163907	0.163499
64067.782851	0.835776	-378.808594	-26.953125
64067.786852	0.831247	9.143718	0.152731
64068.841474	0.755563	-151.269531	300.097656
64068.843476	0.835791	-151.269531	300.097656
64068.845477	0.832926	9.162187	0.177582
64069.869965	0.802367	-368.066406	-27.734375
64069.871965	0.834929	-368.066406	-27.734375
64069.873967	0.832366	9.156028	0.147904
64070.929971	0.673850	-155.175781	279.589844
64070.931974	0.837587	-155.175781	279.589844
64070.933974	0.837427	9.211692	0.156209
64071.964009	0.838248	-363.378906	-28.125000
64071.966011	0.834528	9.179806	0.806983
64073.004015	0.835767	-155.761719	266.699219
64073.006018	0.833864	9.172503	0.553764
64074.052148	0.816772	-376.855469	-26.953125
64074.054150	0.834050	-376.855469	-26.953125
64074.056149	0.831634	9.147972	0.146423
64075.090723	0.479254	-142.871094	304.687500
64075.092725	0.828856	-142.871094	304.687500
64075.094726	0.834630	-142.871094	304.687500
64075.096726	0.832324	9.155567	0.164861
64076.148700	0.749463	-371.777344	-28.320312
64076.150699	0.756185	-371.777344	-28.320312
64076.152701	0.831871	9.150578	0.140064
64077.174722	0.835796	-148.339844	267.578125
