time (s)	det(V)
64050.620421	-0.263640	
64050.622421	-0.266550	
64050.624425	-0.270080	
64050.626423	-0.272705	
64050.630421	-0.275867	
64050.632424	-0.284534	
64050.634424	-0.287630	
64050.638423	-0.291143	
64050.640424	-0.293837	
64050.642424	-0.296245	
64050.644423	-0.297203	
64050.646424	-0.300155	
64050.650421	-0.301999	
64050.652424	-0.309289	
64050.654423	-0.309574	
64050.658423	-0.311162	
64050.660424	-0.310814	
64050.662424	-0.312654	
64050.664423	-0.314221	
64050.666424	-0.315695	
64050.670421	-0.317356	
64050.672423	-0.319665	
64050.674424	-0.320332	
64050.678423	-0.319989	
64050.680424	-0.320423	
64050.682424	-0.320966	
64050.684424	-0.321688	
64050.686423	-0.322488	
64050.690421	-0.321578	
64050.692423	-0.322236	
64050.694424	-0.321265	
64050.698424	-0.321953	
64050.700424	-0.319129	
64050.702423	-0.319760	
64050.704425	-0.318139	
64050.706425	-0.316038	
64050.710421	-0.314536	
64050.712424	-0.312288	
64050.714423	-0.310147	
64050.718424	-0.308268	
64050.720423	-0.302244	
64050.722428	-0.298397	
64050.724432	-0.295939	
64050.726434	-0.291897	
64050.730433	-0.288446	
64050.732434	-0.283875	
64050.734433	-0.280427	
64050.738433	-0.277187	
64050.740434	-0.266343	
64050.742433	-0.262119	
64050.744434	-0.255998	
64050.746433	-0.251981	
64050.750431	-0.247250	
64050.752434	-0.238981	
64050.754433	-0.231988	
64050.758433	-0.226030	
64050.760434	-0.210410	
64050.762435	-0.204917	
64050.764433	-0.199573	
64050.766434	-0.192105	
64050.770431	-0.186146	
64050.772433	-0.174137	
64050.774433	-0.167173	
64050.778433	-0.159903	
64050.780434	-0.145770	
64050.782433	-0.139110	
64050.784433	-0.133426	
64050.786433	-0.128310	
64050.790431	-0.120938	
64050.792433	-0.110114	
64050.794433	-0.102399	
64050.798433	-0.097614	
64050.800434	-0.084797	
64050.802434	-0.081073	
64050.804434	-0.074455	
64050.806434	-0.068670	
64050.810431	-0.063658	
64050.812433	-0.053903	
64050.814432	-0.049276	
64050.818433	-0.045271	
64050.820435	-0.034649	
64050.822433	-0.029545	
64050.824436	-0.025260	
64050.826433	-0.018565	
64050.830431	-0.012912	
64050.832435	-0.004729	
64050.834433	0.001387	
64050.838434	0.005985	
64050.840432	0.020633	
64050.842434	0.026711	
64050.844434	0.033277	
64050.846434	0.038368	
64050.850431	0.045079	
64050.852434	0.054871	
64050.854434	0.062655	
64050.858433	0.070622	
64050.860434	0.088386	
64050.862433	0.094630	
64050.864434	0.102025	
64050.866436	0.109836	
64050.870433	0.116306	
64050.872435	0.132328	
64050.874434	0.140345	
64050.878433	0.149390	
64050.880433	0.166602	
64050.882435	0.174571	
64050.884435	0.181425	
64050.886434	0.189836	
64050.890433	0.198814	
64050.892435	0.212406	
64050.894435	0.221093	
64050.898434	0.227900	
64050.900435	0.243270	
64050.902435	0.249029	
64050.904435	0.256307	
64050.906434	0.262803	
64050.910433	0.269299	
64050.912435	0.279330	
64050.914435	0.283950	
64050.918438	0.289475	
64050.920439	0.298857	
64050.922438	0.303269	
64050.924438	0.306676	
64050.926438	0.310063	
64050.930435	0.312760	
64050.932438	0.313875	
64050.934439	0.315345	
64050.938439	0.315639	
64050.940439	0.319709	
64050.942439	0.318787	
64050.944440	0.318931	
64050.946438	0.319644	
64050.950438	0.318444	
64050.952439	0.314088	
64050.954439	0.314938	
64050.958438	0.312023	
64050.960439	0.313883	
64050.962439	0.311506	
64050.964439	0.310826	
64050.966439	0.309719	
64050.970437	0.307750	
64050.972439	0.305226	
64050.974437	0.304487	
64050.978438	0.304236	
