num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
7707	65500.399816	41.355679	-16.535064	2.852858	2.728080
7709	65502.481793	41.050803	-16.533050	2.849921	2.753428
7711	65504.583383	41.161400	-15.858468	2.831127	2.318099
7713	65506.667250	41.009724	-17.356892	2.833600	3.145849
7715	65508.759490	41.210859	-16.007770	2.849126	2.383011
7717	65510.841615	41.272534	-17.126784	2.819266	2.431157
7719	65512.921934	41.783002	-16.551008	2.828223	2.252558
7721	65514.996239	41.630610	-18.804706	2.856952	2.701803
7723	65517.073765	41.566900	-16.004843	2.846999	2.478220
7725	65519.166371	41.180016	-16.202737	2.847684	2.872043
7727	65521.264692	42.441344	15.711622	2.783428	2.655402
7729	65523.360458	41.408195	-16.292232	2.821891	2.972796
7731	65525.452408	41.598912	-15.606974	2.832726	2.643942
7733	65527.532051	41.434865	-15.631371	2.836797	2.908104
7735	65529.615721	41.486966	-16.558724	2.803289	2.418957
7737	65531.696596	42.489637	-17.536659	2.847226	2.533001
7739	65533.776501	43.174972	15.396072	2.764770	2.368697
7741	65535.862051	41.636131	-15.466417	2.835526	2.550861
7743	65537.944960	41.833008	-16.399082	2.800220	2.576486
7745	65540.031360	41.213342	-18.228468	2.826592	2.775312
7747	65542.118410	41.676574	-15.310644	2.829042	2.669679
7749	65544.202509	42.107922	-16.294406	2.796598	2.765531
7751	65546.292163	42.387463	-16.152842	2.799518	2.903726
7753	65548.377278	42.350696	-16.090144	2.797754	2.357721
7755	65550.464897	42.146542	-15.325417	2.812676	2.734534
7757	65552.554173	42.117856	-15.580674	2.801434	2.935600
7759	65554.641424	42.427841	-15.902465	2.787246	2.567159
7761	65556.732005	41.836282	-18.667663	2.825906	2.875009
7763	65558.822570	43.759810	14.835552	2.748964	2.619631
7765	65560.914606	42.089098	-15.314120	2.796080	2.524970
7767	65563.007523	42.536979	-15.291693	2.793283	2.953268
7769	65565.098549	42.330102	-15.224245	2.799057	2.770528
7771	65567.178567	44.785422	-15.543057	2.819489	2.985348
7773	65569.263019	42.386678	-14.814036	2.807629	2.892890
