time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
89632.053188	1.615086	0.003857	0.418762	148
89633.082097	1.658188	0.003868	0.428749	149
89634.140161	1.295266	0.003867	0.334976	150
89635.156194	1.409471	0.003873	0.363900	151
89636.206301	1.772093	0.003862	0.458800	152
89637.237297	1.624500	0.003870	0.419821	153
89638.285346	1.633645	0.003861	0.423159	154
89639.309418	1.348016	0.003869	0.348396	155
89640.365414	1.512745	0.003848	0.393160	156
89641.391586	1.370617	0.003866	0.354557	157
89642.434177	1.615000	0.003862	0.418127	158
89643.463110	1.612787	0.003851	0.418771	159
89644.513150	1.521000	0.003864	0.393673	160
89645.539167	1.565742	0.003854	0.406269	161
89646.591612	1.549319	0.003852	0.402246	162
89647.615644	1.667786	0.003850	0.433243	163
89648.668854	1.398787	0.003834	0.364848	164
89649.696365	1.572053	0.003850	0.408310	165
89650.730537	1.621259	0.003863	0.419685	166
89651.770586	1.676469	0.003856	0.434750	167
89652.813162	1.225524	0.003848	0.318512	168
89653.849144	1.721305	0.003852	0.446847	169
89654.881184	1.664270	0.003852	0.432015	170
89655.923259	1.865423	0.003856	0.483715	171
89656.957347	1.644331	0.003850	0.427128	172
89658.003442	1.445409	0.003860	0.374500	173
89659.036370	1.778196	0.003856	0.461144	174
89660.076943	1.649800	0.003855	0.427996	175
89661.117510	1.445642	0.003870	0.373539	176
89662.139539	1.676436	0.003852	0.435222	177
89663.189662	1.914432	0.003867	0.495096	178
89664.223724	5.301283	0.003859	1.373751	179
89665.269773	1.886955	0.003855	0.489514	180
89666.295835	1.616415	0.003858	0.418963	181
89667.341780	1.921471	0.003845	0.499752	182
89668.368497	1.554747	0.003848	0.404022	183
89669.422455	1.581229	0.003850	0.410695	184
89670.438474	1.754165	0.003847	0.455975	185
89671.496621	1.927549	0.003841	0.501798	186
89672.520930	1.694771	0.003859	0.439155	187
89673.567886	1.932325	0.003849	0.502065	188
89674.591899	1.829971	0.003851	0.475192	189
89675.649118	1.685885	0.003857	0.437114	190
89676.675150	1.610378	0.003862	0.416996	191
89677.723950	1.926439	0.003839	0.501747	192
89678.747289	1.832685	0.003859	0.474943	193
89679.793729	1.993443	0.003848	0.518082	194
89680.826853	1.780235	0.003859	0.461366	195
89681.869873	1.795075	0.003850	0.466235	196
89682.908402	1.649908	0.003851	0.428425	197
89683.938436	1.963600	0.003847	0.510392	198
89684.988530	1.618835	0.003857	0.419732	199
89686.011408	1.830407	0.003848	0.475684	200
89687.062899	1.874037	0.003841	0.487898	201
89688.086084	1.828299	0.003843	0.475698	202
89689.132192	2.052459	0.003851	0.532950	203
89690.166776	1.821963	0.003857	0.472426	204
89691.212826	1.709298	0.003847	0.444302	205
89692.244894	1.793269	0.003849	0.465929	206
89693.278931	1.952322	0.003875	0.503871	207
89694.321004	1.756640	0.003843	0.457063	208
89695.361009	1.807409	0.003859	0.468320	209
89696.403569	1.632151	0.003879	0.420720	210
89697.432151	1.785449	0.003865	0.462005	211
89698.482183	1.802633	0.003849	0.468290	212
89699.504160	1.891891	0.003857	0.490520	213
89700.554225	1.844090	0.003848	0.479222	214
89701.576196	1.964174	0.003850	0.510142	215
89702.633248	1.782990	0.003857	0.462331	216
89703.657097	1.810733	0.003850	0.470278	217
89704.705279	1.879650	0.003854	0.487706	218
89705.729310	1.971247	0.003848	0.512302	219
89706.777410	1.956380	0.003852	0.507947	220
89707.811446	8.708877	0.003868	2.251366	221
89708.859511	1.745788	0.003867	0.451409	222
89709.883569	2.080421	0.003862	0.538704	223
89710.932524	1.803825	0.003851	0.468459	224
89711.963105	2.115896	0.003854	0.549006	225
89713.005211	10.097443	0.003866	2.611766	226
89714.037264	2.119179	0.003874	0.547045	227
89715.077326	1.786085	0.003868	0.461744	228
89716.121927	1.988531	0.003854	0.515913	229
89717.149955	1.948680	0.003857	0.505287	230
89718.196881	1.909986	0.003857	0.495246	231
89719.220900	2.093199	0.003858	0.542617	232
89720.270955	1.854761	0.003860	0.480538	233
89721.302638	2.000709	0.003849	0.519852	234
89722.342970	1.912033	0.003852	0.496364	235
89723.385140	1.965493	0.003850	0.510489	236
89724.417707	1.741883	0.003850	0.452463	237
89725.455717	2.253666	0.003847	0.585863	238
89726.490576	1.918079	0.003843	0.499055	239
89727.538564	2.117017	0.003868	0.547310	240
89728.561898	14.489549	0.003875	3.738847	241
89729.611914	2.141901	0.003864	0.554362	242
89730.640852	1.863529	0.003850	0.484005	243
89731.690982	2.091272	0.003870	0.540403	244
89732.715064	1.941739	0.003846	0.504916	245
89733.765083	2.146277	0.003850	0.557529	246
89734.788052	2.067746	0.003852	0.536777	247
89735.844090	2.002948	0.003855	0.519534	248
89736.868104	1.965935	0.003862	0.508981	249
89737.919114	2.033327	0.003856	0.527261	250
89738.941142	2.086412	0.003859	0.540670	251
89739.991209	2.056533	0.003858	0.533013	252
89741.021812	8.658175	0.003853	2.247104	253
89742.061855	2.190877	0.003861	0.567440	254
89743.104455	2.146023	0.003841	0.558650	255
89744.135010	2.112321	0.003854	0.548135	0
89745.185097	1.937757	0.003846	0.503815	1
89746.207669	2.124945	0.003854	0.551329	2
89747.255677	2.116662	0.003869	0.547145	3
89748.279724	2.108360	0.003871	0.544597	4
89749.335817	2.117599	0.003851	0.549916	5
89750.361843	1.907255	0.003873	0.492456	6
89751.407836	2.417243	0.003857	0.626736	7
89752.431866	2.173554	0.003852	0.564221	8
89753.481930	2.205651	0.003855	0.572134	9
89754.516007	6.832397	0.003844	1.777190	10
89755.554041	2.264006	0.003863	0.586080	11
89756.593734	1.998973	0.003854	0.518715	12
89757.625989	2.326385	0.003848	0.604626	13
89758.666215	2.142074	0.003849	0.556534	14
89759.698246	2.347669	0.003853	0.609312	15
89760.748354	2.077991	0.003859	0.538477	16
89761.779229	2.266361	0.003852	0.588302	17
89762.821364	2.080274	0.003872	0.537290	18
89763.853947	2.233043	0.003848	0.580253	19
89764.891938	2.251735	0.003845	0.585592	20
89765.932526	2.201715	0.003864	0.569788	21
89766.974583	2.016628	0.003854	0.523270	22
89768.005051	2.317062	0.003851	0.601617	23
89769.045125	2.096856	0.003851	0.544469	24
89770.088150	2.229084	0.003849	0.579167	25
89771.119169	6.302227	0.003855	1.634681	26
89772.161259	2.342427	0.003847	0.608834	27
89773.191302	2.141701	0.003862	0.554499	28
89774.239256	2.318929	0.003847	0.602855	29
89775.265417	2.189062	0.003853	0.568189	30
89776.321996	2.170915	0.003847	0.564324	31
89777.336584	2.352685	0.003843	0.612223	32
89778.394618	2.176236	0.003859	0.563922	33
89779.416604	2.282269	0.003848	0.593068	34
89780.468731	2.189605	0.003840	0.570167	35
89781.497205	2.265286	0.003877	0.584261	36
89782.537258	2.260978	0.003855	0.586484	37
89783.571296	2.441351	0.003855	0.633220	38
89784.611816	2.232505	0.003867	0.577286	39
89785.652398	2.349591	0.003847	0.610822	40
89786.686420	2.265196	0.003848	0.588664	41
89787.722935	2.568533	0.003849	0.667304	42
89788.767574	2.083107	0.003846	0.541607	43
89789.804016	2.339597	0.003855	0.606869	44
89790.838164	2.199996	0.003852	0.571139	45
89791.876190	2.530579	0.003846	0.657920	46
89792.908673	2.304576	0.003846	0.599218	47
89793.960838	2.262001	0.003854	0.586870	48
89794.990828	2.166003	0.003853	0.562130	49
89796.030913	2.393528	0.003853	0.621227	50
89797.064963	2.209543	0.003852	0.573663	51
89798.102631	2.526782	0.003867	0.653373	52
89799.143538	2.223140	0.003858	0.576268	53
89800.175184	2.518877	0.003854	0.653631	54
89801.225697	2.127817	0.003855	0.551953	55
89802.248262	2.584859	0.003869	0.668061	56
