time (s)	det(V)
6800.665468	-0.422606	
6800.667468	-0.398617	
6800.669467	-0.377566	
6800.671467	-0.353750	
6800.673467	-0.325604	
6800.675467	-0.304076	
6800.679473	-0.279635	
6800.683473	-0.232359	
6800.685475	-0.178378	
6800.687474	-0.156293	
6800.689473	-0.128758	
6800.691473	-0.105118	
6800.695471	-0.079943	
6800.697473	-0.033207	
6800.699475	-0.007972	
6800.703475	0.014536	
6800.705475	0.063730	
6800.707475	0.085007	
6800.709477	0.105487	
6800.711476	0.128464	
6800.713475	0.146674	
6800.715476	0.166056	
6800.719475	0.188062	
6800.721475	0.224865	
6800.723475	0.246865	
6800.725475	0.264895	
6800.727475	0.283393	
6800.729477	0.301355	
6800.731476	0.316441	
6800.733475	0.333048	
6800.735480	0.347537	
6800.739481	0.363444	
6800.741481	0.395628	
6800.743482	0.409140	
6800.745482	0.426216	
6800.747483	0.439085	
6800.749482	0.454086	
6800.751481	0.470515	
6800.753481	0.482744	
6800.755481	0.497529	
6800.759482	0.510701	
6800.761481	0.540240	
6800.763481	0.552901	
6800.765481	0.565387	
6800.767481	0.579651	
6800.769482	0.589145	
6800.771483	0.600935	
6800.775480	0.615115	
6800.777482	0.633603	
6800.779482	0.643489	
6800.783482	0.650511	
6800.785482	0.668392	
6800.787482	0.673934	
6800.789482	0.682350	
6800.791482	0.687752	
6800.793482	0.689595	
6800.795482	0.694562	
6800.799481	0.693173	
6800.801482	0.697931	
6800.803481	0.697432	
6800.805481	0.697905	
6800.807482	0.695330	
6800.809482	0.691232	
6800.811482	0.688361	
6800.815480	0.683698	
6800.817482	0.670012	
6800.819482	0.662423	
6800.821482	0.653964	
6800.823490	0.649683	
6800.825488	0.638380	
6800.827489	0.629747	
6800.829487	0.619621	
6800.831487	0.605474	
6800.835485	0.594972	
6800.839487	0.567539	
6800.841487	0.544880	
6800.843488	0.531742	
6800.845488	0.520214	
6800.847488	0.504547	
6800.849487	0.491332	
6800.851488	0.478579	
6800.853487	0.462976	
6800.857488	0.450656	
6800.861488	0.423679	
6800.863488	0.402653	
6800.865489	0.391592	
6800.867488	0.382026	
6800.869490	0.368849	
6800.873493	0.356230	
6800.887942	0.282320	
6800.889943	0.269601	
6800.891943	0.257649	
6800.893943	0.251092	
6800.895943	0.243132	
6800.897943	0.232425	
6800.899944	0.224521	
6800.903952	0.215583	
6800.905953	0.203251	
6800.907953	0.198190	
6800.909954	0.190430	
6800.911956	0.187481	
6800.913957	0.178498	
6800.915957	0.172845	
6800.919955	0.168195	
6800.923954	0.154741	
6800.925957	0.145690	
6800.927957	0.142278	
6800.929956	0.138230	
6800.931957	0.131468	
6800.933957	0.127475	
6800.937955	0.122616	
6800.939957	0.114989	
6800.941957	0.109286	
6800.945957	0.106169	
6800.947956	0.098832	
6800.949957	0.096089	
6800.951956	0.091498	
6800.953957	0.086543	
6800.955956	0.085461	
6800.959957	0.080479	
6800.961957	0.075913	
6800.963957	0.071157	
6800.965957	0.069587	
6800.967957	0.067430	
6800.969957	0.062692	
6800.971956	0.061110	
6800.973957	0.059040	
6800.977955	0.055297	
6800.981955	0.050103	
6800.983956	0.046400	
6800.985957	0.043502	
6800.987957	0.041032	
6800.989956	0.041176	
6800.991957	0.038080	
6800.993958	0.037421	
6800.995960	0.034372	
6800.997963	0.030208	
6801.001979	0.029402	
6801.003979	0.025579	
6801.005979	0.027516	
6801.007978	0.026078	
6801.009979	0.024208	
6801.011978	0.024615	
6801.013979	0.021770	
6801.015979	0.019677	
6801.017981	0.018076	
6801.021980	0.015945	
6801.023980	0.016915	
6801.025981	0.015478	
6801.027982	0.016390	
6801.029979	0.014689	
6801.031981	0.012932	
6801.033980	0.013096	
6801.035981	0.011118	
6801.037981	0.008244	
6801.039986	0.011056	
6801.043985	0.009729	
6801.045985	0.010803	
6801.047984	0.008184	
6801.049985	0.008261	
6801.051984	0.007617	
6801.053985	0.006321	
6801.057983	0.008219	
6801.059984	0.005127	
6801.061984	0.006731	
6801.065985	0.004692	
6801.067985	0.006651	
6801.069984	0.004388	
6801.071984	0.004872	
6801.073983	0.006186	
6801.075985	0.004890	
6801.077986	0.004115	
6801.081985	0.003183	
6801.083987	0.003258	
6801.085986	0.003424	
6801.087987	0.002231	
6801.089986	0.005088	
6801.091987	0.002836	
6801.093986	0.004197	
6801.097985	0.003641	
6801.101985	0.000581	
6801.103986	0.000278	
6801.105987	0.002888	
6801.107988	0.002160	
6801.109987	0.000847	
6801.111987	0.002490	
6801.113986	0.001149	
6801.115986	-0.001189	
6801.119987	-0.000584	
6801.121986	-0.001114	
6801.123987	-0.000238	
6801.125989	0.000353	
6801.127986	0.001413	
6801.129985	0.000761	
6801.131986	-0.000891	
6801.133986	0.000168	
6801.135986	-0.001427	
6801.139985	-0.004303	
6801.143986	-0.002745	
6801.145986	0.000733	
6801.147989	-0.001833	
6801.149986	-0.001113	
6801.151986	-0.001028	
6801.155984	-0.001863	
6801.157985	-0.002644	
6801.159986	-0.003063	
6801.163986	-0.001220	
6801.165987	-0.001675	
6801.167986	-0.000656	
6801.169986	-0.002444	
6801.171985	-0.000389	
6801.173989	-0.000391	
6801.175988	-0.003023	
6801.179988	-0.001510	
6801.181987	-0.002942	
6801.183988	-0.000667	
6801.185987	-0.001556	
6801.187988	-0.002564	
6801.189988	0.000495	
6801.191987	-0.000392	
6801.193988	0.000054	
6801.195987	-0.000925	
6801.199987	-0.003314	
6801.201988	-0.001827	
6801.203989	-0.001429	
6801.205988	0.001061	
6801.207987	0.000172	
6801.209988	-0.000289	
6801.211987	0.001758	
6801.213987	-0.000706	
6801.215987	-0.001835	
6801.219987	-0.001093	
6801.221987	-0.001066	
6801.223989	0.001734	
6801.225987	-0.000302	
6801.227989	0.001588	
6801.229987	0.000601	
6801.231990	0.000221	
6801.235986	-0.000571	
6801.237988	-0.003063	
6801.239989	0.000561	
6801.243987	-0.001045	
6801.245988	0.001898	
6801.247987	-0.000669	
6801.249988	0.000302	
6801.253986	-0.001243	
6801.255990	-0.000559	
6801.259997	-0.001311	
6801.261998	0.000479	
6801.263998	-0.000408	
6801.265998	-0.000273	
6801.268002	0.000441	
6801.270001	-0.001707	
6801.272002	0.000008	
6801.274002	0.000332	
6801.276002	-0.002240	
6801.278001	-0.001342	
6801.282001	-0.001537	
6801.284002	-0.000384	
6801.286001	-0.001656	
6801.288002	-0.002020	
6801.290003	0.001001	
6801.292002	-0.000990	
6801.296000	0.000229	
6801.298001	-0.003907	
6801.300001	-0.002041	
6801.304001	-0.002876	
6801.306002	0.000034	
6801.308001	-0.000637	
6801.310001	-0.002466	
6801.312002	0.000395	
6801.316000	-0.002151	
6801.319999	-0.002914	
6801.322002	-0.002487	
6801.324002	-0.000929	
6801.326004	-0.003301	
6801.328002	-0.001226	
6801.330001	-0.001616	
6801.332000	-0.002578	
6801.334001	-0.004208	
6801.338002	-0.005227	
6801.342001	-0.002764	
6801.344001	-0.002018	
6801.346002	-0.002076	
6801.348001	-0.004951	
6801.350001	-0.003704	
6801.354000	-0.003942	
6801.356003	-0.004525	
6801.358002	-0.006512	
6801.362001	-0.006912	
6801.364003	-0.006994	
6801.366001	-0.006110	
6801.368005	-0.006610	
6801.370005	-0.008129	
6801.372006	-0.007570	
6801.374013	-0.008730	
6801.378011	-0.010843	
6801.380011	-0.010420	
6801.382012	-0.010586	
6801.384011	-0.010543	
6801.386012	-0.012082	
6801.388011	-0.013576	
6801.390011	-0.010863	
6801.392011	-0.013605	
6801.394011	-0.015740	
6801.398009	-0.014382	
6801.400012	-0.017257	
6801.402013	-0.017149	
6801.404011	-0.018790	
6801.406011	-0.017122	
6801.408012	-0.019729	
6801.410012	-0.020300	
6801.414010	-0.020330	
6801.416012	-0.025807	
6801.418012	-0.026041	
6801.420011	-0.028763	
6801.422019	-0.027589	
6801.424016	-0.027205	
6801.426015	-0.030378	
6801.428016	-0.029832	
6801.430015	-0.031967	
6801.434013	-0.034517	
6801.438013	-0.039340	
6801.440016	-0.038981	
6801.442016	-0.042077	
6801.444016	-0.042464	
6801.446016	-0.044692	
6801.448016	-0.048769	
6801.450015	-0.049494	
6801.452017	-0.053640	
6801.456020	-0.056902	
6801.460021	-0.060305	
6801.462022	-0.061910	
6801.464022	-0.066521	
6801.466022	-0.069559	
6801.468025	-0.071530	
6801.472023	-0.075949	
6801.474026	-0.081842	
6801.476025	-0.086159	
6801.480027	-0.088440	
6801.482026	-0.095658	
6801.484026	-0.098758	
6801.486025	-0.104405	
6801.488026	-0.109024	
6801.490025	-0.110317	
