time (s)	coil I (A)	last det (V)	int current (uC)
7569.152251	0.458924	452.148437	-5.664062
7569.154252	0.497518	452.148437	-5.664062
7569.156253	0.495979	5.455768	0.523329
7570.174359	0.495462	154.394531	-82.714844
7570.176362	0.494411	154.394531	-82.714844
7570.180359	0.493356	5.426912	0.518893
7571.234401	0.495954	456.640625	-6.347656
7571.236404	0.496326	5.459587	0.522842
7572.248386	0.488772	153.320312	-66.894531
7572.250388	0.495879	153.320312	-66.894531
7572.252387	0.494442	5.438867	0.542199
7573.308419	0.493855	444.531250	-1.464844
7573.310420	0.496102	5.457124	0.500353
7574.324444	0.406564	157.128906	-72.265625
7574.326444	0.498298	157.128906	-72.265625
7574.328444	0.496680	5.463478	0.541258
7575.382543	0.494928	447.460937	-1.660156
7575.384546	0.497129	5.468414	0.833618
7576.399158	0.463125	153.906250	-65.136719
7576.401159	0.497249	153.906250	-65.136719
7576.403159	0.495806	5.453871	0.536518
7577.465125	0.496868	458.984375	-6.542969
7577.467127	0.496048	5.456530	0.524109
7578.479114	0.378785	151.757812	-54.296875
7578.483116	0.496147	151.757812	-54.296875
7578.485120	0.495004	5.445045	0.560925
7579.533149	0.277831	445.312500	-2.343750
7579.535151	0.489822	445.312500	-2.343750
7579.537151	0.497548	445.312500	-2.343750
7579.539151	0.496260	5.458860	0.517936
7580.554132	0.284495	151.562500	-61.035156
7580.556134	0.490668	151.562500	-61.035156
7580.558134	0.496942	151.562500	-61.035156
7580.560135	0.495723	5.452958	0.531824
7581.616167	0.441597	454.687500	-5.957031
7581.618169	0.497019	454.687500	-5.957031
7581.620169	0.495281	5.448093	0.527363
7582.628215	0.468054	162.402344	-98.046875
7582.630217	0.496863	162.402344	-98.046875
7582.632217	0.495284	5.448120	0.562859
7583.692814	1.638628	454.980469	-7.714844
7583.694815	0.497026	454.980469	-7.714844
7583.696814	0.495533	5.450858	0.551481
7584.710838	0.403181	148.144531	-63.281250
7584.712839	0.497635	148.144531	-63.281250
7584.714839	0.495910	5.455006	0.535289
7585.762870	0.443579	445.410156	-5.078125
7585.764874	0.497269	445.410156	-5.078125
7585.766873	0.495566	5.451221	0.537382
7586.786874	0.497507	147.460937	-73.144531
7586.788878	0.495929	5.455218	0.526273
7587.842876	0.464007	456.933594	-11.230469
7587.844877	0.496985	456.933594	-11.230469
7587.846878	0.495458	5.450034	0.557670
7588.864880	0.491749	157.031250	-103.417969
7588.866882	0.497668	157.031250	-103.417969
7588.868882	0.496423	5.460651	0.758230
7589.914907	0.461691	457.128906	-13.183594
7589.916910	0.496884	457.128906	-13.183594
7589.918908	0.495293	5.448226	0.564423
7590.946991	0.496776	156.054687	-102.832031
7590.948994	0.495161	5.446772	0.511661
7591.988036	0.416613	454.980469	-13.867187
7591.990037	0.497449	454.980469	-13.867187
7591.994035	0.494671	5.441384	0.563817
7593.024552	0.477526	150.390625	-82.714844
7593.026554	0.496875	150.390625	-82.714844
7593.028554	0.495454	5.449989	0.573488
7594.064615	0.457290	453.808594	-14.941406
7594.066615	0.496963	453.808594	-14.941406
7594.068616	0.495370	5.449068	0.570580
7595.102684	0.434201	155.273437	-83.398437
7595.104685	0.497509	155.273437	-83.398437
7595.106686	0.495859	5.454447	0.530310
7596.136750	0.461787	440.234375	-9.667969
7596.138750	0.497156	440.234375	-9.667969
7596.140751	0.495643	5.452072	0.584674
7597.182754	0.497170	160.156250	-79.394531
7597.184755	0.496428	5.460704	0.984722
7598.213701	0.443970	445.019531	-10.351562
7598.215704	0.496644	445.019531	-10.351562
7598.217703	0.494973	5.444699	0.555010
7599.259801	0.398918	162.304687	-54.199219
7599.261803	0.498004	162.304687	-54.199219
7599.263804	0.496424	5.460669	0.553153
7600.292728	0.497736	436.523437	-5.371094
7600.294729	0.495951	5.455466	0.539359
7601.333331	0.479617	158.203125	-20.800781
7601.335334	0.496495	158.203125	-20.800781
7601.337333	0.495017	5.445186	0.612870
7602.371373	0.268258	438.769531	-2.734375
7602.373375	0.486712	438.769531	-2.734375
7602.375374	0.496233	438.769531	-2.734375
7602.377375	0.494837	5.443210	0.523481
7603.405410	0.480618	163.183594	-23.339844
7603.407412	0.496197	163.183594	-23.339844
7603.409413	0.494780	5.442581	0.658848
7604.455452	0.497098	440.820312	-1.171875
7604.457454	0.495434	5.449777	0.521389
7605.480014	0.478942	163.281250	-27.343750
7605.484012	0.495437	163.281250	-27.343750
7605.488011	0.493941	5.433346	0.630842
7606.530531	0.294969	448.242187	-3.613281
7606.532531	0.492995	448.242187	-3.613281
7606.534531	0.497562	448.242187	-3.613281
7606.536533	0.496284	5.459126	0.524672
7607.552607	0.314812	156.250000	-22.460937
7607.554607	0.494633	156.250000	-22.460937
7607.556608	0.496372	5.460093	0.588666
7608.612620	0.487407	451.953125	-5.664062
7608.614623	0.496621	451.953125	-5.664062
7608.616622	0.495263	5.447889	0.689925
7609.632679	0.496262	149.804687	-16.601562
7609.634682	0.494908	5.443990	0.821585
7610.686672	0.405051	445.019531	-3.222656
7610.688676	0.498027	445.019531	-3.222656
7610.690675	0.497952	5.477471	0.547345
7611.704753	0.367464	154.394531	-39.843750
7611.706753	0.497251	154.394531	-39.843750
7611.708753	0.496005	5.456051	0.578284
7612.764791	0.481321	455.468750	-8.398437
7612.766792	0.497051	455.468750	-8.398437
7612.768792	0.495628	5.451912	0.616317
7613.782792	0.261030	153.125000	-40.917969
7613.784795	0.484799	153.125000	-40.917969
7613.786793	0.496189	153.125000	-40.917969
7613.788795	0.494787	5.442652	0.572559
7614.844818	0.496383	454.687500	-7.617187
7614.846820	0.495003	5.445035	0.545084
7615.858881	0.483903	155.566406	-49.218750
7615.860882	0.495893	155.566406	-49.218750
7615.862880	0.494439	5.438832	0.575609
7616.919451	0.469445	450.878906	-6.152344
7616.921452	0.496656	450.878906	-6.152344
7616.925452	0.494216	5.436377	0.554870
7617.934041	0.255243	160.644531	-54.492187
7617.936043	0.483230	160.644531	-54.492187
7617.938043	0.496056	160.644531	-54.492187
