crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.741208	6595	7569147904.000000
281474976710655.000000	5.478653	6596	7570166272.000000
281474976710655.000000	6.789373	6597	7571229184.000000
281474976710655.000000	6.788938	6598	7572243456.000000
281474976710655.000000	6.164942	6599	7573303296.000000
281474976710655.000000	6.513759	6600	7574320640.000000
281474976710655.000000	6.122437	6601	7575377408.000000
281474976710655.000000	5.914190	6602	7576394752.000000
281474976710655.000000	6.548019	6603	7577459712.000000
281474976710655.000000	7.009712	6604	7578475520.000000
281474976710655.000000	6.233261	6605	7579530240.000000
281474976710655.000000	6.233453	6606	7580551168.000000
281474976710655.000000	6.790980	6607	7581612032.000000
281474976710655.000000	6.336492	6608	7582623744.000000
281474976710655.000000	6.625593	6609	7583688192.000000
281474976710655.000000	6.878131	6610	7584707072.000000
281474976710655.000000	6.370198	6611	7585758720.000000
281474976710655.000000	5.983283	6612	7586781184.000000
281474976710655.000000	7.128972	6613	7587838464.000000
281474976710655.000000	6.960988	6614	7588859904.000000
281474976710655.000000	6.662546	6615	7589910528.000000
281474976710655.000000	6.688135	6616	7590940672.000000
281474976710655.000000	6.835585	6617	7591984128.000000
281474976710655.000000	6.343639	6618	7593019904.000000
281474976710655.000000	7.149236	6619	7594060288.000000
281474976710655.000000	7.004708	6620	7595098624.000000
281474976710655.000000	7.039273	6621	7596132352.000000
281474976710655.000000	6.623515	6622	7597177344.000000
281474976710655.000000	6.579823	6623	7598209536.000000
281474976710655.000000	7.293745	6624	7599256064.000000
281474976710655.000000	7.016803	6625	7600286720.000000
281474976710655.000000	6.824107	6626	7601328640.000000
281474976710655.000000	6.900287	6627	7602368512.000000
281474976710655.000000	7.312853	6628	7603400704.000000
281474976710655.000000	6.740284	6629	7604449280.000000
281474976710655.000000	7.465344	6630	7605475328.000000
281474976710655.000000	6.662880	6631	7606527488.000000
281474976710655.000000	7.032682	6632	7607549440.000000
281474976710655.000000	6.998677	6633	7608607744.000000
281474976710655.000000	7.100522	6634	7609625600.000000
281474976710655.000000	7.292912	6635	7610682880.000000
281474976710655.000000	7.408192	6636	7611701248.000000
281474976710655.000000	6.835624	6637	7612760064.000000
281474976710655.000000	7.212974	6638	7613779968.000000
281474976710655.000000	7.262907	6639	7614837760.000000
281474976710655.000000	7.198483	6640	7615854080.000000
281474976710655.000000	7.393389	6641	7616914944.000000
281474976710655.000000	7.635243	6642	7617931264.000000
281474976710655.000000	7.012806	6643	7618991104.000000
281474976710655.000000	7.255598	6644	7620008960.000000
281474976710655.000000	7.495993	6645	7621068288.000000
281474976710655.000000	7.634361	6646	7622086656.000000
281474976710655.000000	7.361275	6647	7623141888.000000
281474976710655.000000	7.644765	6648	7624165376.000000
281474976710655.000000	7.402206	6649	7625217024.000000
281474976710655.000000	7.571924	6650	7626245120.000000
281474976710655.000000	7.312853	6651	7627290112.000000
281474976710655.000000	7.893583	6652	7628326400.000000
281474976710655.000000	7.679431	6653	7629362688.000000
281474976710655.000000	7.576434	6654	7630405120.000000
281474976710655.000000	7.666034	6655	7631438848.000000
281474976710655.000000	7.985940	6656	7632482304.000000
281474976710655.000000	7.752102	6657	7633515008.000000
281474976710655.000000	7.661577	6658	7634558976.000000
281474976710655.000000	7.805548	6659	7635593216.000000
281474976710655.000000	7.901695	6660	7636634112.000000
281474976710655.000000	7.924032	6661	7637671424.000000
281474976710655.000000	7.834566	6662	7638709760.000000
281474976710655.000000	8.219107	6663	7639750144.000000
281474976710655.000000	7.803517	6664	7640784384.000000
281474976710655.000000	7.960861	6665	7641828864.000000
281474976710655.000000	7.901517	6666	7642860544.000000
281474976710655.000000	8.217456	6667	7643906560.000000
281474976710655.000000	7.974474	6668	7644935680.000000
281474976710655.000000	8.208361	6669	7645984256.000000
281474976710655.000000	8.153366	6670	7647011840.000000
281474976710655.000000	7.986599	6671	7648060928.000000
281474976710655.000000	8.087568	6672	7649089024.000000
281474976710655.000000	8.322668	6673	7650137600.000000
281474976710655.000000	8.139208	6674	7651165696.000000
281474976710655.000000	8.339108	6675	7652214784.000000
281474976710655.000000	8.262208	6676	7653242368.000000
281474976710655.000000	8.243654	6677	7654290432.000000
281474976710655.000000	8.109690	6678	7655321088.000000
281474976710655.000000	8.535604	6679	7656366592.000000
281474976710655.000000	8.271299	6680	7657397760.000000
281474976710655.000000	8.392765	6681	7658442752.000000
281474976710655.000000	8.375313	6682	7659476480.000000
281474976710655.000000	8.539083	6683	7660517376.000000
281474976710655.000000	8.238308	6684	7661554688.000000
281474976710655.000000	8.604817	6685	7662593024.000000
281474976710655.000000	8.456344	6686	7663632384.000000
281474976710655.000000	8.429519	6687	7664668160.000000
